product_id,product_name,category,price,stock_quantity,brand
1,Plan Get,Books,278.27,533,BrandA
2,Field Yet,Beauty,479.56,5,BrandA
3,Technology Her,Books,332.59,268,BrandA
4,Decade Pick,Toys,198.16,944,BrandB
5,Finally Develop,Beauty,307.6,862,BrandC
6,Play Several,Electronics,406.48,231,BrandA
7,Various Account,Electronics,200.95,267,BrandC
8,Build Of,Beauty,262.73,198,BrandA
9,Save Keep,Clothing,155.47,355,BrandD
10,Grow Think,Electronics,172.39,227,BrandA
11,Usually Generation,Clothing,79.13,906,BrandB
12,Act About,Electronics,6.17,220,BrandC
13,See Fine,Books,299.74,84,BrandB
14,Agreement See,Books,387.12,194,BrandB
15,Pay Include,Home,324.84,515,BrandA
16,Same One,Beauty,152.27,199,BrandB
17,Option Early,Toys,65.91,215,BrandB
18,Expert Protect,Books,273.8,238,BrandA
19,Lot Stage,Toys,188.14,596,BrandD
20,To Account,Electronics,117.05,789,BrandD
21,Speak Indicate,Clothing,49.2,234,BrandA
22,Rise Green,Books,54.23,448,BrandA
23,Manage Family,Beauty,217.74,920,BrandC
24,Pass Likely,Toys,37.35,340,BrandD
25,Hear Choice,Electronics,205.07,43,BrandA
26,Learn Occur,Beauty,351.39,94,BrandC
27,Eat Add,Books,336.82,535,BrandC
28,Bit Consumer,Home,445.82,165,BrandB
29,Admit Car,Home,192.6,667,BrandC
30,Similar Doctor,Home,137.83,162,BrandD
31,Election Buy,Home,7.42,55,BrandA
32,Exist Peace,Toys,463.94,132,BrandD
33,Also Tree,Books,324.5,601,BrandA
34,In Talk,Toys,334.64,841,BrandA
35,Later Charge,Toys,320.73,430,BrandB
36,Upon Reality,Clothing,339.19,132,BrandB
37,Realize Response,Books,119.22,184,BrandC
38,Couple Wish,Books,371.47,243,BrandA
39,Else Capital,Toys,206.29,18,BrandA
40,Front Statement,Beauty,236.34,294,BrandB
41,Past Something,Clothing,254.19,904,BrandA
42,Technology Event,Electronics,316.33,16,BrandD
43,Interview Do,Books,78.97,710,BrandC
44,Least History,Books,470.25,386,BrandD
45,Notice What,Clothing,318.83,830,BrandC
46,Blue Learn,Toys,196.65,598,BrandD
47,Win General,Clothing,150.33,185,BrandD
48,Major Money,Clothing,342.7,8,BrandD
49,Human Artist,Home,350.45,137,BrandB
50,Rich Research,Clothing,150.78,323,BrandD
51,Degree Personal,Books,66.17,982,BrandD
52,Head Eat,Toys,261.41,718,BrandB
53,Education Although,Electronics,105.99,75,BrandA
54,Short Off,Electronics,485.4,636,BrandC
55,Green Person,Beauty,234.79,381,BrandD
56,Again Gun,Books,18.18,17,BrandA
57,Daughter Fire,Beauty,457.97,720,BrandC
58,Truth Soldier,Clothing,212.32,708,BrandC
59,Full Later,Books,461.81,156,BrandD
60,Likely Focus,Beauty,333.06,575,BrandD
61,From Carry,Books,293.61,869,BrandC
62,Certainly Follow,Home,235.23,828,BrandD
63,Near Hear,Beauty,333.03,248,BrandC
64,Mrs Cause,Books,71.66,137,BrandD
65,Sure Occur,Home,425.22,908,BrandC
66,Line Toward,Clothing,161.26,506,BrandC
67,Treat Past,Books,405.81,474,BrandC
68,Owner Interesting,Toys,8.11,762,BrandA
69,Big Term,Clothing,120.05,764,BrandA
70,Term Protect,Beauty,274.06,107,BrandA
71,Check Space,Clothing,34.35,986,BrandA
72,Rich Conference,Home,75.39,131,BrandC
73,Dinner Clear,Electronics,398.68,584,BrandD
74,Over Production,Beauty,13.53,988,BrandA
75,Policy Back,Beauty,221.66,71,BrandB
76,Near Pass,Clothing,296.41,569,BrandC
77,Lot Change,Clothing,43.68,35,BrandD
78,Idea Eye,Home,322.69,149,BrandC
79,Few Take,Toys,420.14,588,BrandB
80,Dog Whose,Toys,129.36,49,BrandB
81,Season Federal,Electronics,440.99,465,BrandC
82,Pm Itself,Toys,132.27,321,BrandD
83,Station Plan,Electronics,354.78,809,BrandC
84,Others Prove,Clothing,159.31,470,BrandB
85,Thing Out,Home,37.41,806,BrandC
86,Write All,Clothing,95.45,686,BrandA
87,Teach Body,Electronics,427.19,480,BrandC
88,Marriage Poor,Beauty,266.79,716,BrandD
89,Stop Reason,Home,219.35,240,BrandA
90,Include Understand,Electronics,156.8,422,BrandA
91,Order All,Clothing,326.43,362,BrandB
92,Billion Step,Home,328.54,955,BrandC
93,Image Executive,Books,170.5,881,BrandB
94,Account Him,Books,110.61,109,BrandB
95,Happen Election,Clothing,388.02,494,BrandA
96,As Number,Clothing,74.7,583,BrandD
97,Free His,Books,240.88,191,BrandA
98,Foreign Type,Beauty,171.81,383,BrandD
99,Whether Painting,Books,422.93,336,BrandB
100,Service Public,Books,405.6,612,BrandD
101,Think Increase,Electronics,59.96,447,BrandB
102,Simple Morning,Books,388.69,986,BrandA
103,Full To,Electronics,417.9,571,BrandC
104,Act Design,Beauty,430.59,203,BrandD
105,Whom Spring,Books,209.67,183,BrandC
106,Debate Much,Electronics,89.43,533,BrandB
107,Window Son,Electronics,459.18,355,BrandA
108,Seek Get,Home,57.24,278,BrandB
109,Political Stage,Beauty,85.44,344,BrandC
110,Letter Generation,Electronics,224.63,15,BrandA
111,Nation Its,Electronics,203.74,722,BrandB
112,Manager Be,Electronics,268.64,1,BrandB
113,Research Apply,Books,341.94,680,BrandC
114,Turn Build,Beauty,299.21,743,BrandB
115,Increase Well,Electronics,483.93,334,BrandB
116,Water Last,Home,414.9,135,BrandC
117,Loss Later,Clothing,73.07,614,BrandA
118,Letter Keep,Clothing,290.25,899,BrandB
119,Office Five,Beauty,469.78,446,BrandB
120,Dog Before,Home,192.94,319,BrandD
121,Fund Kind,Books,96.37,272,BrandA
122,So Others,Home,188.39,448,BrandB
123,Half Paper,Books,144.78,603,BrandD
124,Expert Know,Beauty,23.22,117,BrandD
125,Physical Team,Home,458.09,936,BrandB
126,Scientist Election,Beauty,8.23,158,BrandB
127,Much Mention,Clothing,494.3,272,BrandA
128,Memory Employee,Home,130.28,112,BrandC
129,Tough Thought,Electronics,71.82,374,BrandB
130,Bed Charge,Books,62.33,813,BrandC
131,Risk Note,Home,163.02,373,BrandC
132,Real Democratic,Electronics,473.18,450,BrandA
133,Write Mission,Home,337.39,390,BrandD
134,Treatment Recent,Books,403.83,340,BrandA
135,Degree Ahead,Electronics,481.64,667,BrandD
136,Mention Find,Books,53.51,164,BrandC
137,To Goal,Toys,412.07,7,BrandB
138,Because Beyond,Electronics,409.62,957,BrandD
139,Beautiful Marriage,Electronics,283.82,516,BrandB
140,Appear Majority,Electronics,92.45,933,BrandB
141,Add Ever,Electronics,194.84,673,BrandA
142,Beyond Near,Home,338.71,218,BrandC
143,Common Someone,Clothing,17.41,50,BrandD
144,Table Close,Books,26.6,601,BrandC
145,National Buy,Clothing,127.05,98,BrandB
146,Professor President,Books,80.13,601,BrandA
147,Especially Receive,Toys,391.49,868,BrandB
148,President Scientist,Home,153.51,208,BrandC
149,Enough Past,Home,484.35,557,BrandB
150,Door Me,Home,28.23,528,BrandC
151,Entire Those,Home,405.2,851,BrandC
152,Early Technology,Books,139.63,816,BrandD
153,Risk Season,Toys,76.74,509,BrandD
154,Toward Cause,Home,281.1,448,BrandD
155,Ready May,Home,146.69,84,BrandB
156,Project Middle,Books,133.14,724,BrandB
157,Present Almost,Electronics,24.76,697,BrandB
158,Fine Week,Beauty,144.43,508,BrandB
159,Practice City,Clothing,185.51,489,BrandA
160,Hard Another,Clothing,28.45,738,BrandA
161,Half Order,Electronics,430.86,82,BrandA
162,Head Subject,Clothing,109.14,818,BrandD
163,Increase Color,Home,486.03,641,BrandC
164,Water Miss,Home,67.91,361,BrandD
165,Capital Answer,Beauty,273.8,310,BrandB
166,Avoid Course,Home,225.66,326,BrandB
167,Property Goal,Electronics,262.21,522,BrandC
